Rooms,Type,Price,Postcode,Distance
3,h,1490000,3067,3
3,h,1220000,3067,3
3,h,1420000,3067,3
3,h,1515000,3040,7.5
2,h,670000,3042,10.4
2,t,530000,3042,10.4
2,u,540000,3042,10.4
3,h,715000,3042,10.4
6,h,830000,3021,14
3,h,1925000,3206,3
3,u,515000,3020,10.5
4,h,717000,3020,10.5
2,h,1675000,3078,5.7
4,h,2008000,3078,5.7
2,h,860000,3018,11
4,h,830000,3028,15.5
3,h,720000,3025,9.4
2,u,836000,3143,6.3
3,h,1386000,3143,6.3
2,u,580000,3143,6.3
1,u,355000,3143,6.3
3,h,1123100,3032,4.3
3,u,1270000,3147,10.2
4,h,830000,3147,10.2
3,t,1610000,3147,10.2
4,h,1435000,3147,10.2
4,h,1431000,3195,21.5
4,h,996000,3195,21.5
4,h,830000,3049,16.5
4,h,825000,3034,9.5
2,u,660800,3103,7.9
2,t,700000,3103,7.9
3,u,955000,3103,7.9
4,h,1810000,3103,7.9
4,h,1850000,3104,9.7
3,h,830000,3104,9.7
3,h,1220000,3104,9.7
4,h,830000,3104,9.7
2,u,800000,3104,9.7
4,h,880000,3153,23.2
4,h,1285000,3193,17.3
2,u,835000,3193,17.3
4,h,1445000,3193,17.3
2,t,830000,3193,17.3
4,h,1435000,3193,17.3
3,u,675000,3081,8.8
4,t,1300000,3204,11.4
4,t,1500000,3204,11.4
3,h,1340000,3204,11.4
2,h,830000,3204,11.4
3,h,1400000,3165,13.8
2,u,830000,3165,13.8
2,t,775000,3165,13.8
3,t,920000,3165,13.8
2,h,1220000,3165,13.8
2,h,1130000,3165,13.8
4,h,1460000,3165,13.8
3,t,830000,3193,17.3
4,h,1200000,3130,13.4
4,h,1410000,3130,13.4
3,h,1110000,3130,13.4
4,h,960000,3130,13.4
5,h,1090000,3130,13.4
3,h,980000,3130,13.4
3,t,830000,3130,13.4
4,h,1925000,3130,13.4
3,u,710000,3130,13.4
4,h,985000,3196,27
4,h,830000,3155,25
2,u,420000,3128,10.9
3,h,500500,3019,8.6
2,h,490000,3019,8.6
2,t,500000,3019,8.6
3,t,830000,3186,10.5
4,h,830000,3186,10.5
3,h,830000,3186,10.5
4,h,830000,3186,10.5
2,u,830000,3187,10.3
4,h,830000,3187,10.3
4,h,830000,3187,10.3
3,h,1958000,3187,10.3
4,h,830000,3187,10.3
4,h,2975000,3187,10.3
4,h,830000,3047,14
3,h,457000,3047,14
3,h,830000,3056,5.2
2,h,740000,3056,5.2
3,h,830000,3056,5.2
3,h,900000,3056,5.2
